country,country_pt_br,iso_code,Latitude,Longitude
Afghanistan,Afeganistão,AFG,33.93911,67.709953
Albania,Albânia,ALB,41.153332,20.168331
Algeria,Argélia,DZA,28.033886,1.659626
Andorra,Andorra,AND,42.506285,1.521801
Angola,Angola,AGO,-11.202692,17.873887
Anguilla,Anguilla,AIA,18.220554,-63.068615
Antigua and Barbuda,Antigua e Barbuda,ATG,17.060816,-61.796428
Argentina,Argentina,ARG,-38.416097,-63.616672
Armenia,Armênia,ARM,40.069099,45.038189
Aruba,Aruba,ABW,12.52111,-69.968338
Australia,Austrália,AUS,-25.274398,133.775136
Austria,Áustria,AUT,47.516231,14.550072
Azerbaijan,Azerbaijão,AZE,40.143105,47.576927
Bahamas,Bahamas,BHS,25.03428,-77.39628
Bahrain,Bahrein,BHR,26.0667,50.5577
Bangladesh,Bangladesh,BGD,23.684994,90.356331
Barbados,Barbados,BRB,13.193887,-59.543198
Belarus,Belarus,BLR,53.709807,27.953389
Belgium,Bélgica,BEL,50.503887,4.469936
Belize,Belize,BLZ,17.189877,-88.49765
Benin,Benin,BEN,9.30769,2.315834
Bermuda,Bermudas,BMU,32.3078,-64.7505
Bhutan,Butão,BTN,27.514162,90.433601
Bolivia,Bolívia,BOL,-16.290154,-63.588653
Bonaire Sint Eustatius and Saba,Bonaire Sint Eustatius e Saba,BES,12.1783611,-68.2385339
Bosnia and Herzegovina,Bósnia e Herzegovina,BIH,43.915886,17.679076
Botswana,Botsuana,BWA,-22.328474,24.684866
Brazil,Brasil,BRA,-14.235004,-51.92528
British Virgin Islands,Ilhas Virgens Britânicas,VGB,18.420695,-64.639968
Brunei,Brunei,BRN,4.535277,114.727669
Bulgaria,Bulgária,BGR,42.733883,25.48583
Burkina Faso,Burkina Faso,BFA,12.238333,-1.561593
Burundi,Burundi,BDI,-3.373056,29.918886
Cambodia,Camboja,KHM,12.565679,104.990963
Cameroon,Camarões,CMR,7.369722,12.354722
Canada,Canadá,CAN,56.130366,-106.346771
Cape Verde,Cabo Verde,CPV,16.5388,-23.0418
Cayman Islands,Ilhas Cayman,CYM,19.3133,-81.2546
Central African Republic,República Centro-Africana,CAF,6.611111,20.939444
Chad,Chade,TCD,15.454166,18.732207
Chile,Chile,CHL,-35.675147,-71.542969
China,China,CHN,35.86166,104.195397
Colombia,Colômbia,COL,4.570868,-74.297333
Comoros,Comores,COM,-11.6455,43.3333
Congo,Congo,COG,-4.038333,21.758664
Cook Islands,Ilhas Cook,COK,-21.236736,-159.777671
Costa Rica,Costa Rica,CRI,9.748917,-83.753428
Cote d'Ivoire,Costa do Marfim,CIV,7.539989,-5.54708
Croatia,Croácia,HRV,45.1,15.2000001
Cuba,Cuba,CUB,21.521757,-77.781167
Curacao,Curaçao,CUW,12.16957,-68.99002
Cyprus,Chipre,CYP,35.126413,33.429859
Czechia,República Tcheca,CZE,49.817492,15.472962
Democratic Republic of Congo,República Democrática do Congo,COD,-4.038333,21.758664
Denmark,Dinamarca,DNK,56.26392,9.501785
Djibouti,Djibuti,DJI,11.825138,42.590275
Dominica,Dominica,DMA,15.414999,-61.370976
Dominican Republic,República Dominicana,DOM,18.735693,-70.162651
Ecuador,Equador,ECU,-1.831239,-78.183406
